dates,ffr_surprise,nfp_surprise,EarningsToPrice
19990528,0,0,0.0294135275255477
19990601,3,0,0.0301335515400842
19990602,0,0,0.0301335515400842
19990603,0,0,0.0301335515400842
19990604,1,-209,0.0301335515400842
19990607,-1,0,0.0301335515400842
19990608,0,0,0.0301335515400842
19990609,1,0,0.0301335515400842
19990610,2,0,0.0301335515400842
19990611,2,0,0.0301335515400842
19990614,0,0,0.0301335515400842
19990615,0,0,0.0301335515400842
19990616,-1,0,0.0301335515400842
19990617,0,0,0.0301335515400842
19990618,0,0,0.0301335515400842
19990621,1,0,0.0301335515400842
19990622,1,0,0.0301335515400842
19990623,2,0,0.0301335515400842
